asset_type,major_cat,minor_cat,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Other commercial 2,Structures,Commercial and health care structures,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.3,1.4,1.6,2.1,2.5,2.6,2.1,2.1,2.5,3.4,4.5,4.9,5.2,4.6,4.9,7,8.8,8.9,9.4,9.9,10.3,10.2,7.4,7.1,7.8,11,11.9,12.8,15.4,15.6,16.5,19.1,17.5,17.8,15.9,18.4,17.4,16.3,19.3,17.3,10.4,7.3,7.7,8.4,9.1,9.2
Manufacturing,Structures,,2.8,2.8,2.8,2.9,3.5,5.1,6.5,5.9,6,6.8,7,6.2,5.9,7.9,10,10.5,10.1,11,16.1,22,20.5,25.4,26,19.4,20.8,24.1,20.9,21.1,23.1,28.7,33.5,31.3,28.7,23.3,28.7,35.2,37.9,37.6,40.2,34.8,37.3,37.5,22.4,21,22.9,28.2,32,39.6,52.3,56.2,39.7,39.1,46.3,49.4,57.7
Power and communication,Structures,,4.3,4,4,4.1,4.5,5.1,5.5,6.5,7.6,7.9,9.1,9.7,10.9,12.5,12.9,14.4,15.6,16.5,17.8,19.8,22.1,23.4,22.5,19.5,22.8,27.5,27.6,27.9,24.2,25.2,28.2,28,27.1,30.4,25.9,31.4,31.4,29.6,34.2,40.1,46.9,49.8,48.2,46,41.7,48,55.8,81.3,94.6,92.8,82.6,81.6,99.7,98,116.6
Power,Structures,,3.2,3.1,3,3,3.2,3.6,3.9,4.9,5.9,5.7,6.1,6.7,7.7,8.5,8.7,10.6,11.7,12,12.2,13,14.4,15.3,14.1,12,14.8,19.2,18.6,18.8,14.7,15.6,18.4,19.1,18.1,20.8,15.8,20.3,19.6,17.2,21.7,21.7,28.1,30.2,29.8,31.5,26.3,29.2,33.6,53.9,68.3,73,64.9,64.1,83.7,80.3,99.5
Electric,Structures,Power and communication structures,2,1.8,1.8,1.8,1.9,2.2,2.2,3.1,3.5,3.8,4.2,4.7,5.5,6.3,6,7.1,7.2,9,9.4,9.5,10.2,10.5,10,9,11.8,15.5,15.1,15.2,10.6,10.8,13.2,12.8,10.4,14.2,10.1,13.1,13.9,12.2,13.1,15.3,22.2,24.2,22.5,24.1,19.6,22.7,26.2,41.2,51.8,57.4,47.8,50.1,66.3,53.5,71.3
Other power,Structures,Power and communication structures,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.3,2,1.9,2,2.1,2.3,2.7,3.5,4.5,3,2.8,3.4,4.2,4.8,4.1,2.9,3,3.7,3.5,3.6,4,4.7,5.2,6.3,7.8,6.6,5.7,7.2,5.7,5,8.6,6.4,5.9,6,7.3,7.4,6.7,6.5,7.4,12.7,16.4,15.7,17.1,14,17.4,26.9,28.2
Communication,Structures,Power and communication structures,1.1,1,1,1.1,1.3,1.5,1.6,1.6,1.7,2.2,2.9,3,3.3,3.9,4.2,3.8,3.9,4.5,5.6,6.9,7.7,8.2,8.5,7.6,8,8.3,9,9.2,9.6,9.6,9.8,9,9,9.6,10.1,11.1,11.8,12.4,12.5,18.4,18.8,19.6,18.4,14.5,15.5,18.8,22.2,27.5,26.3,19.7,17.7,17.5,16,17.6,17.1
"Mining exploration, shafts, and wells",Structures,,2.3,2.3,2.5,2.2,2.4,2.4,2.4,2.4,2.6,2.8,2.8,2.7,3.1,3.5,5.2,7.3,8.6,11.4,15.4,19,27.4,42.4,44.7,30,31.2,27.9,15.6,13,15.7,14.9,17.9,18.5,14.1,16.5,16.3,15,16.7,22.4,22.2,18.2,23.6,34.5,30.1,38.3,47.2,69.3,95.9,102,120.1,78.9,93.2,124.5,152.7,155.4,187.6
Petroleum and natural gas,Structures,Mining structures,2.2,2.2,2.3,2.1,2.2,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,39.9,42.7,28.4,29.5,26.2,14.6,12.2,14.8,13.9,16.7,17.2,12.8,15.2,14.5,13.7,15.2,21,21.1,17.2,22.3,33.3,27.8,36.2,43.6,64.3,87.9,94.6,113.1,73.2,86.4,113.3,141.7,143.8,177
Mining,Structures,Mining structures,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.3,1.4,1.8,2.5,2.1,1.5,1.7,1.7,1.1,0.8,0.9,1,1.1,1.3,1.3,1.3,1.8,1.3,1.5,1.4,1.1,1,1.3,1.3,2.3,2.1,3.6,5,8,7.4,7,5.7,6.8,11.2,11,11.6,10.6
Other structures,Structures,,5.2,5.1,5.4,5.8,6.4,7.3,7.7,7.7,7.1,7.6,7.7,7.9,8.6,9.9,10.2,10,10.9,12.2,14.9,18.2,19.8,21.1,21.1,23.2,27.9,31.4,30.4,33.4,32,33.8,37.4,33.2,30.9,34.3,34.6,40.1,48.1,55.4,61.2,63.8,68.3,65,59.1,58.8,62.2,62.4,73.7,90.5,104,83.5,59.6,54.3,60.3,65.3,73
Religious,Structures,,1,1,1,1,1,1.2,1.1,1.1,1.1,1,0.9,0.8,0.9,0.8,0.9,0.9,1,1.1,1.4,1.7,1.9,2,1.9,2.3,2.7,3.1,3.5,3.7,3.9,4.3,4.1,3.8,3.4,3.8,3.8,4.2,4.4,5.6,6.5,7.2,7.9,8.3,8.3,8.6,8.2,7.7,7.7,7.5,7.2,6.2,5.2,4.2,3.8,3.6,3.4
Educational and vocational,Structures,Other structures,0.6,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.1,0.9,1,1.1,1,0.7,0.7,0.7,0.7,0.9,1.1,1.6,1.7,1.9,2.1,2.3,2.7,3.2,4.7,3.8,4.3,4.8,4.9,5.1,5.3,5.5,6.2,7.6,9.8,10.9,10.4,12.7,13.8,14.2,14.3,13.6,13.9,14.6,17.1,18.2,17.5,14.2,14.2,16.3,15.4,15.4
